alltags,category,subcategory,label
14,4,47,8.10
9,8,68,8.93
16,4,49,6.87
11,3,38,2.00
9,2,28,3.70
2,3,40,3.17
10,4,45,8.11
5,4,44,2.81
12,9,73,5.32
10,1,5,9.03
18,1,11,8.27
16,9,71,5.78
31,2,22,7.01
70,4,48,7.49
5,6,58,4.39
7,6,56,8.34
6,2,24,12.31
15,1,5,10.22
10,6,62,9.64
67,4,44,6.99
61,1,5,8.43
10,7,65,2.81
14,9,72,3.17
10,9,73,4.70
55,1,2,9.15
39,2,22,9.33
15,2,22,8.01
12,5,50,9.23
8,9,73,4.64
11,1,6,7.04
6,4,47,3.46
6,4,47,7.11
30,2,37,10.29
29,7,67,4.25
18,4,47,7.61
29,3,38,5.58
43,7,63,7.48
10,1,5,8.61
11,6,55,6.43
35,2,18,4.58
47,1,9,11.58
7,5,53,2.58
4,2,22,2.58
59,4,44,7.12
9,3,41,2.81
31,5,50,8.95
28,1,9,11.67
14,4,47,7.19
2,10,76,1.58
7,4,43,4.46
16,6,60,1.58
15,4,47,7.06
48,10,75,6.51
12,5,51,5.21
24,6,56,10.14
10,2,33,3.81
60,1,5,5.39
48,1,5,5.36
7,1,9,6.46
19,4,48,5.32
8,7,63,2.32
10,2,22,5.88
54,2,24,6.41
16,8,68,3.46
24,3,39,3.58
8,3,38,3.81
4,2,28,4.64
8,4,49,5.67
11,4,43,7.63
50,3,40,8.54
11,4,48,7.71
30,2,28,6.36
28,6,60,6.66
14,1,8,7.22
6,3,39,1.00
7,1,5,5.36
7,4,46,8.03
28,2,16,3.17
5,2,23,4.00
5,4,47,2.00
19,4,43,3.58
8,2,29,3.17
50,2,32,4.64
17,6,59,5.58
20,2,18,5.25
14,4,47,7.15
1,4,47,3.00
7,4,49,5.09
4,2,20,5.64
17,2,23,4.64
15,3,39,5.81
7,4,48,4.32
14,8,68,7.55
8,10,76,5.09
30,1,8,9.63
67,6,60,8.22
6,7,65,5.88
4,1,5,8.74
8,4,47,3.70
3,3,38,4.95
5,9,71,1.58
7,2,29,4.70
10,4,48,8.53
61,7,63,8.80
11,4,46,5.13
17,6,55,11.25
11,4,47,6.67
12,2,34,5.73
47,6,55,6.29
44,9,73,5.36
18,1,7,5.32
6,9,73,5.61
9,2,34,10.88
10,2,23,9.97
18,2,25,7.12
4,3,39,5.61
19,1,5,9.29
28,4,49,5.73
4,3,38,5.13
8,6,56,2.58
17,4,44,9.24
7,1,4,5.61
41,3,40,10.90
8,2,19,5.29
4,6,55,5.49
9,4,47,7.50
19,1,2,7.26
8,10,75,1.58
14,10,76,9.85
30,3,39,4.64
19,1,8,7.15
12,1,6,6.75
2,1,6,8.49
75,4,47,4.75
16,4,48,6.07
23,1,1,8.62
8,10,76,9.01
10,2,32,4.70
14,1,4,10.27
7,9,73,6.15
25,4,49,5.75
6,4,44,7.95
22,8,68,10.61
56,1,2,8.59
7,1,11,4.25
58,1,5,7.22
75,3,38,12.61
12,2,29,3.58
4,4,48,4.25
28,2,32,6.73
32,2,32,7.59
9,9,73,6.79
46,1,5,11.41
7,7,65,2.58
7,5,50,7.62
45,3,40,5.81
57,6,56,7.52
46,4,49,7.84
13,4,49,4.86
35,2,18,10.68
22,5,51,3.46
3,5,53,6.00
15,7,67,8.69
8,4,45,5.49
5,3,39,5.09
7,10,76,3.17
35,2,25,7.07
48,5,53,10.19
13,2,22,11.15
4,9,73,2.81
22,7,65,7.20
14,1,9,5.75
3,3,38,4.32
17,6,55,8.50
7,4,46,3.81
38,2,28,5.83
9,2,28,4.17
68,7,65,7.88
32,7,67,7.84
23,1,1,13.28
10,6,56,6.85
12,4,47,6.58
49,10,76,1.00
11,7,67,5.67
23,1,8,7.43
6,2,18,4.52
3,2,24,4.58
10,4,49,4.58
3,6,56,5.17
15,2,17,7.47
13,10,76,4.86
50,1,8,7.06
1,11,77,3.70
18,1,4,5.46
15,3,38,10.22
33,1,8,4.95
11,10,76,3.70
17,2,20,4.75
21,3,38,4.00
5,2,32,1.58
16,3,39,3.17
21,4,47,5.09
47,4,46,5.13
57,1,5,10.44
15,4,46,4.70
24,3,39,7.58
9,2,18,6.85
30,7,67,15.90
68,2,19,8.72
9,4,47,5.88
21,4,47,6.93
27,2,29,3.17
6,2,34,5.95
6,4,47,5.00
33,7,64,5.39
7,4,47,5.09
8,5,50,5.13
21,2,20,5.93
10,2,32,8.05
11,1,4,5.49
24,2,28,7.01
7,3,38,1.58
6,4,46,3.46
33,10,76,7.64
19,4,48,4.64
12,2,26,3.70
18,4,44,4.00
23,1,10,11.82
7,1,15,9.13
19,1,8,6.17
41,1,8,11.09
18,4,47,6.82
16,10,76,9.50
28,9,72,3.00
9,5,50,6.58
46,6,57,7.16
54,2,32,8.97
25,9,73,1.58
10,1,4,5.04
9,4,45,7.36
13,4,48,3.91
43,4,47,7.22
17,2,23,4.58
20,3,40,7.48
5,2,21,7.60
4,1,5,9.13
10,4,47,2.58
9,4,48,5.93
11,3,38,4.39
35,1,5,8.72
8,5,53,5.46
17,5,50,7.00
17,1,15,4.91
45,1,4,9.52
75,4,45,12.72
49,3,38,5.09
26,7,63,6.09
61,4,45,8.84
12,9,73,6.02
18,6,57,4.25
33,10,75,8.61
15,3,40,6.38
46,3,38,9.72
2,2,21,4.58
15,4,48,4.75
16,4,46,2.81
43,2,22,5.67
33,7,65,4.46
9,2,23,5.32
12,3,38,6.07
9,9,73,9.30
5,4,48,7.34
60,4,44,5.29
10,4,47,5.95
16,10,76,4.39
62,4,44,6.48
8,6,59,1.00
33,2,18,9.15
26,9,73,8.83
19,1,5,7.08
52,3,39,5.17
18,2,19,4.91
25,2,22,3.81
17,2,19,6.00
11,2,27,5.17
21,2,20,7.64
5,5,53,5.25
25,9,73,8.55
15,10,76,5.43
19,1,4,5.81
13,2,22,4.91
6,6,55,4.09
9,4,45,6.70
10,4,47,6.32
9,2,31,8.20
19,2,23,3.32
11,7,65,3.91
5,4,49,6.02
68,9,2,6.86
16,5,53,6.86
12,6,62,5.25
2,1,4,6.43
12,2,17,6.98
66,1,5,8.03
55,10,75,5.91
8,2,25,8.55
10,1,8,10.10
3,5,51,5.58
35,4,48,6.74
6,1,6,10.32
34,5,51,10.82
22,8,68,5.88
15,9,70,5.95
8,7,67,3.70
26,4,44,5.73
8,1,6,4.25
7,4,48,6.02
16,4,46,8.61
8,1,4,4.64
17,4,45,5.17
7,3,38,7.30
7,1,11,3.70
17,7,64,7.15
17,2,17,6.81
6,7,66,3.00
5,7,65,2.58
19,4,46,9.30
12,4,49,4.58
9,4,43,4.46
72,2,17,6.48
13,6,62,7.67
10,2,23,6.69
2,7,63,6.97
9,2,28,4.70
4,4,47,6.85
10,1,5,6.58
34,3,39,10.33
52,6,56,10.22
16,9,70,6.64
75,2,22,7.42
14,2,34,4.91
47,2,29,5.09
10,4,47,5.46
16,2,28,5.64
4,2,35,7.94
23,10,76,5.21
70,11,77,11.74
14,11,77,1.00
16,5,51,6.30
6,7,63,5.39
31,6,57,3.00
22,7,65,5.29
8,1,11,4.00
32,6,62,5.98
14,1,8,4.46
11,2,34,6.61
55,10,75,7.16
39,4,48,4.64
4,4,48,2.81
5,2,22,6.44
6,9,73,6.38
20,6,59,4.09
4,2,22,2.81
8,1,5,8.50
16,10,76,2.58
41,2,28,7.56
30,10,75,10.89
4,9,73,2.58
1,4,48,3.32
12,4,48,5.93
9,4,49,4.46
31,1,9,11.92
11,10,75,5.46
6,2,31,7.37
23,7,64,4.70
2,2,34,7.90
11,2,35,4.75
4,1,8,3.46
13,2,29,2.32
5,4,48,4.58
9,2,28,4.09
2,4,48,5.43
22,4,48,3.81
2,2,32,4.70
24,1,10,10.75
4,2,19,2.58
31,3,39,9.51
12,3,38,6.66
26,4,47,6.89
5,1,5,9.29
5,6,56,5.32
15,11,77,8.02
14,7,65,8.38
52,2,22,9.09
4,3,38,6.41
19,6,55,9.55
7,11,77,3.70
6,3,40,7.52
24,10,76,2.81
5,10,76,5.55
2,2,18,1.58
10,10,76,5.39
19,1,2,4.81
6,9,73,6.48
7,4,47,4.70
6,3,39,6.44
7,1,8,6.17
31,1,4,5.75
17,1,12,4.09
3,4,47,4.75
11,2,27,5.32
8,5,51,4.86
24,4,44,3.00
6,3,38,1.58
16,9,71,5.17
10,3,39,8.92
43,4,45,10.07
62,4,44,6.55
10,4,48,7.02
4,4,46,10.49
31,1,4,5.49
66,4,44,7.52
16,1,5,4.52
25,2,34,8.32
43,11,77,5.52
8,5,52,1.00
24,1,5,5.29
50,1,4,7.02
61,1,4,7.35
13,1,5,9.75
32,4,48,5.32
46,3,39,7.10
22,4,47,7.08
3,1,6,4.00
25,3,38,6.93
5,3,40,3.00
13,4,47,4.95
7,4,46,4.52
44,10,75,4.58
11,7,64,8.99
11,10,76,4.75
15,1,11,2.00
20,4,49,5.93
30,1,9,11.70
51,1,1,6.87
6,3,39,7.41
9,7,66,3.58
74,2,32,7.15
25,2,34,6.74
22,1,10,6.77
22,2,32,4.58
10,2,34,6.27
20,4,47,6.64
19,11,77,4.75
4,4,44,1.58
18,7,64,4.64
9,6,58,4.09
5,1,15,6.91
33,1,5,7.91
47,4,45,6.64
5,2,35,5.43
5,9,73,9.10
4,9,73,4.86
20,3,38,4.09
7,4,46,5.04
21,7,65,7.07
35,6,59,8.51
17,4,44,8.85
4,2,20,1.00
11,1,10,4.70
14,6,60,1.58
20,7,63,4.17
5,4,47,5.29
17,5,51,4.75
39,4,45,9.93
27,4,44,5.39
50,3,38,2.00
22,5,51,5.49
10,9,73,4.46
18,2,19,5.00
5,5,50,2.00
12,2,25,5.29
15,6,55,8.24
15,5,50,10.26
30,2,23,7.09
6,3,40,3.46
49,10,75,6.60
31,1,8,10.29
25,1,15,2.32
12,4,46,5.55
14,4,47,4.81
14,11,77,1.00
14,5,53,5.25
8,5,51,3.91
27,4,44,5.36
5,4,46,5.49
31,2,22,4.00
13,2,19,8.80
4,1,5,5.49
44,7,63,9.18
11,9,70,4.95
34,9,70,6.13
23,9,70,6.43
19,1,9,7.79
45,2,32,6.13
20,2,22,6.00
69,11,77,11.82
18,1,8,5.95
1,2,25,3.70
25,6,60,4.58
8,8,68,5.36
7,4,49,8.88
69,2,32,5.73
24,3,39,7.27
11,1,5,7.48
26,10,76,4.58
7,7,65,6.83
12,4,49,5.17
4,3,41,4.00
21,4,47,5.43
17,1,5,10.49
30,2,23,6.49
12,4,46,5.70
16,4,44,5.73
20,4,45,4.81
10,2,32,7.02
25,2,18,12.43
47,1,9,5.70
22,2,29,4.52
74,10,75,8.14
11,1,6,7.22
22,7,64,5.75
7,2,18,8.94
25,4,47,6.82
12,4,46,8.94
12,5,53,8.93
16,2,22,4.32
11,2,16,7.81
4,7,67,8.72
73,3,40,9.94
8,1,4,7.54
9,2,28,8.37
22,9,73,7.08
25,5,51,3.46
55,10,75,7.19
66,1,8,8.71
34,4,49,5.93
69,4,44,6.32
28,3,40,4.64
36,1,6,6.91
4,2,20,5.75
18,1,5,11.62
7,4,49,2.58
23,1,8,8.42
25,6,55,4.52
19,2,23,6.15
8,4,47,9.84
12,5,53,16.12
16,9,71,5.13
42,9,70,7.64
11,2,22,6.61
17,4,46,7.64
18,2,18,2.00
70,2,22,9.51
39,3,40,11.62
2,4,47,1.00
18,1,7,6.55
7,1,14,6.61
24,1,4,4.91
68,7,63,7.00
11,5,53,9.81
19,10,75,5.86
56,2,22,5.36
36,2,24,6.09
8,6,56,10.00
30,9,71,3.91
10,1,7,2.81
3,6,55,10.63
36,11,77,8.98
15,4,49,5.70
3,1,15,6.95
28,3,39,7.16
31,1,5,8.08
7,7,65,3.46
15,2,19,7.91
30,5,51,5.43
69,2,18,11.15
7,5,50,4.17
32,2,23,7.92
40,10,76,8.35
13,2,35,1.00
15,2,27,4.86
8,9,73,7.44
19,2,19,5.61
3,3,38,4.46
17,6,56,10.46
27,4,44,4.81
7,1,4,3.32
32,1,1,6.55
12,4,47,9.91
34,2,29,5.75
23,2,16,9.13
7,4,49,5.00
55,3,39,4.46
6,2,18,9.29
43,7,63,7.24
31,1,10,7.57
17,9,73,7.90
5,1,10,5.49
27,4,49,9.28
30,7,67,15.38
10,1,8,9.43
29,11,77,9.46
62,1,5,3.58
13,1,11,8.65
21,3,40,6.71
18,4,45,9.21
1,4,47,6.82
6,6,55,8.28
9,3,38,5.25
17,1,5,5.52
69,5,51,7.67
11,4,49,9.83
7,2,28,5.36
15,2,19,6.61
22,7,65,5.09
2,9,72,3.58
33,4,47,7.47
27,3,39,4.09
11,1,5,2.58
13,4,48,7.37
1,4,48,3.00
30,2,23,6.39
3,5,51,2.32
24,10,75,4.00
13,5,51,2.00
2,3,39,7.23
10,6,58,7.18
18,4,44,4.39
8,1,4,3.46
58,4,44,7.43
11,1,5,8.86
24,7,65,9.20
10,4,46,1.58
13,2,18,5.61
3,4,47,5.83
47,4,48,9.19
3,1,6,6.43
6,4,47,7.45
9,2,27,8.17
4,3,39,4.52
12,3,39,6.69
32,10,76,4.46
33,6,56,8.76
6,3,40,3.91
24,4,45,4.64
16,3,39,3.00
16,9,73,5.61
13,7,67,4.39
4,6,56,5.36
5,1,5,4.91
14,2,22,7.43
29,4,47,6.60
8,3,39,1.58
9,4,47,8.74
16,5,52,6.46
19,10,76,4.25
3,9,73,4.52
13,7,66,3.46
11,10,75,8.22
5,4,47,3.81
8,2,32,7.67
61,1,2,5.46
22,8,68,5.75
51,4,45,5.00
12,3,39,5.91
7,3,38,7.28
18,2,32,4.52
23,4,49,6.43
4,4,47,5.04
5,2,21,6.85
9,4,49,6.32
15,10,75,2.00
10,4,48,6.32
8,3,38,8.30
15,2,27,7.97
17,2,28,6.11
17,2,19,4.75
3,4,46,3.46
5,4,47,5.04
23,2,18,9.82
12,1,5,5.39
6,2,32,1.00
49,1,7,5.52
30,2,29,3.81
52,9,70,8.08
10,9,73,3.58
7,3,38,2.00
4,4,48,3.00
3,4,46,5.93
9,4,48,5.13
1,1,9,6.82
26,2,18,7.69
2,5,51,4.64
25,1,10,9.63
27,5,50,6.04
26,2,22,11.16
17,1,9,7.79
9,2,34,4.86
16,10,76,4.70
19,1,5,6.38
6,6,56,5.43
12,9,2,8.94
16,7,66,4.52
11,11,77,5.67
23,1,8,5.43
14,6,59,6.32
23,6,56,10.24
5,4,46,3.81
25,4,49,6.04
63,2,19,9.07
8,3,38,9.23
8,2,20,3.91
14,8,69,6.23
17,4,44,4.86
9,10,75,6.19
10,2,27,5.29
